number,value,datetime_start,datetime_complete,duration,params_background_amplitude_fraction,params_background_center,params_background_offset,params_background_width,params_peak_1_amplitude_fraction,params_peak_1_center,params_peak_1_sigma,params_peak_2_amplitude_fraction,params_peak_2_center,params_peak_2_sigma,system_attrs_fixed_params,state
1791,0.7455756101648183,2026-07-17 16:29:42.986711,2026-07-17 16:29:43.021541,0 days 00:00:00.034830,-0.4436560205742923,776.7462277325646,1018.8135632778392,0.530864550573931,1.4940699090599059,781.1817334314128,0.921672528799762,0.045881306650152553,779.0122702007952,1.1107937496040865,,COMPLETE
1792,0.7042332320017508,2026-07-17 16:29:43.021541,2026-07-17 16:29:43.063594,0 days 00:00:00.042053,0.9025882242332071,782.9754134967072,-281.82888903503397,0.4452414215790646,0.3777637831174273,777.6352652412572,2.3234072193665125,1.2633577637435387,776.4333762198406,1.4483797812892494,,COMPLETE
1793,0.11865786847170291,2026-07-17 16:29:43.063594,2026-07-17 16:29:43.087443,0 days 00:00:00.023849,0.16188995764066666,782.9205887240975,-160.76856831238075,2.3677909099276997,0.773368808526625,779.1738307118063,1.1907712687911922,0.3154376131726636,778.9504073461537,2.771782853120285,,COMPLETE
1794,0.40764725212714403,2026-07-17 16:29:43.087443,2026-07-17 16:29:43.119718,0 days 00:00:00.032275,-0.767986717289838,783.1576670633393,447.46509377782127,0.10970513950956254,0.023308912148973016,783.2057832578652,0.9828113595000293,0.7576313617576705,780.90003693475,0.9793380082172635,,COMPLETE
1795,0.3514130780887916,2026-07-17 16:29:43.119718,2026-07-17 16:29:43.167125,0 days 00:00:00.047407,0.5921292116747404,783.7627168053344,-283.319529396601,3.0422807619356456,1.0073978454616648,780.5658680813114,1.3467731981550854,0.0676701972647101,780.9025926422704,2.754521834548383,,COMPLETE
1796,1.8055749656968398,2026-07-17 16:29:43.167125,2026-07-17 16:29:43.224076,0 days 00:00:00.056951,0.6180862724347558,778.5088195205137,1093.5833556251762,0.13967597974860035,1.0529632488795495,782.935497258619,2.7456547561282374,0.2186388239364534,781.6226220727387,1.8521877676428382,,COMPLETE
1797,0.27468688350328513,2026-07-17 16:29:43.224076,2026-07-17 16:29:43.271527,0 days 00:00:00.047451,-0.5092584434909109,776.5736227667152,163.89367197087353,0.5697650270902463,0.07204043368633295,781.644945565928,1.260095457514794,1.1479421435798938,780.455954466616,1.7359827295752939,,COMPLETE
1798,0.4607101557939781,2026-07-17 16:29:43.271527,2026-07-17 16:29:43.310260,0 days 00:00:00.038733,0.23623508685181022,783.3407106187512,110.88877144108307,1.8791918524714233,0.6929985585601738,776.9573541929327,0.6852659344635871,0.28876589967354627,778.5008314170136,2.538002296252822,,COMPLETE
1799,0.6511719101347417,2026-07-17 16:29:43.310260,2026-07-17 16:29:43.350929,0 days 00:00:00.040669,0.4848411293973428,782.9439432074186,-257.8360579667023,2.6162795592753874,0.9241559934478637,782.5352586098028,1.1718587514241912,0.04594859585950943,778.1816165421095,2.0929894228478725,,COMPLETE
1800,1000.0061211477994,2026-07-17 16:29:43.353102,2026-07-17 16:29:43.410831,0 days 00:00:00.057729,0.8147744709100562,782.1778918779112,-215.87923570585912,2.91901775417553,0.8337409493285091,778.8902810045146,1.060857449081874,0.5945975801287541,778.8386380721292,2.742455294373347,,COMPLETE
1801,0.48133875719523983,2026-07-17 16:29:43.410831,2026-07-17 16:29:43.464249,0 days 00:00:00.053418,0.30832047989843764,783.0344761675203,56.678726723889,5.865199040576711,1.2641994136029506,781.0280658868072,0.5113526615822288,0.28954904886505906,778.0665919392762,2.975910022810477,,COMPLETE
1802,1000.01120491716,2026-07-17 16:29:43.465250,2026-07-17 16:29:43.498738,0 days 00:00:00.033488,-0.30675182698705783,783.5770023171034,226.4741544742914,6.869275750148131,0.5441975084705973,777.9083663529253,0.26086557621289036,0.21479626762194481,777.9198475073622,1.9023520340436952,,COMPLETE
1803,1000.0097608272546,2026-07-17 16:29:43.498738,2026-07-17 16:29:43.536697,0 days 00:00:00.037959,-0.3773044467193013,783.1241121770773,-25.944489895362636,2.1053951847049843,0.6622894477703801,778.8493858164327,0.7874549291135354,0.824496378729014,778.826496351744,2.57226182021972,,COMPLETE
1804,0.14125115811143152,2026-07-17 16:29:43.536697,2026-07-17 16:29:43.574443,0 days 00:00:00.037746,0.28863977094745374,783.072286509321,20.130215512632677,1.1828738111288652,1.0134600829719114,779.233651975843,0.7492147303103498,0.14465822468834139,780.0051977645765,2.8842984678159294,,COMPLETE
