binding_energy_eV,intensity,background,co2_peak,co3_peak,fitted
7.834950000000000045e+02,1.646999999999999886e+01,6.568217866365295698e-01,1.318671241428778895e+00,1.028134649907495479e+01,1.225683952714026326e+01
7.835950000000000273e+02,1.297879999999999967e+01,8.281860760905974672e-01,9.319250757944198549e-01,7.552873574697535730e+00,9.312984726582552497e+00
7.836950000000000500e+02,1.015729999999999933e+01,1.064385937135485571e+00,6.529779263214487983e-01,5.449644062838524761e+00,7.167007926295458908e+00
7.837949999999999591e+02,7.848770000000000024e+00,1.386385143588676261e+00,4.536167084409982175e-01,3.862048856351335768e+00,5.702050708381010580e+00
7.838949999999999818e+02,5.978880000000000194e+00,1.822080395398945729e+00,3.124299255512026918e-01,2.688197001506361872e+00,4.822707322456510681e+00
7.839950000000000045e+02,4.508490000000000109e+00,2.407312700929281846e+00,2.133483299454052018e-01,1.837799480258440976e+00,4.458460511133127468e+00
7.840950000000000273e+02,3.442190000000000083e+00,3.187239625759112016e+00,1.444438015129168307e-01,1.234038927304643263e+00,4.565722354576672082e+00
7.841950000000000500e+02,2.804320000000000146e+00,4.216413832466151312e+00,9.695754530341896271e-02,8.138667348620612918e-01,5.127238112631631317e+00
7.842949999999999591e+02,2.611860000000000070e+00,5.556844807370328709e+00,6.452638777627600630e-02,5.271951903381771887e-01,6.148566385484781627e+00
7.843949999999999818e+02,2.878420000000000201e+00,7.273683784861945334e+00,4.257612531909856640e-02,3.354156205828677240e-01,7.651675530763911937e+00
7.844950000000000045e+02,3.673470000000000013e+00,9.428886686485626001e+00,2.785274205517503793e-02,2.095988193939495314e-01,9.666338247934751493e+00
7.845950000000000273e+02,5.083499999999999908e+00,1.206825964149389563e+01,1.806520185869257139e-02,1.286435698209826561e-01,1.221496841317357074e+01
7.846950000000000500e+02,7.198450000000000237e+00,1.520557691571797321e+01,1.161691255021875951e-02,7.754986342925178355e-02,1.529474369169744286e+01
7.847949999999999591e+02,1.007019999999999982e+01,1.880575455980567057e+01,7.406476707260803254e-03,4.591638563489601477e-02,1.885907742214782701e+01
7.848949999999999818e+02,1.368870000000000076e+01,2.277499272588461565e+01,4.681722223289636921e-03,2.670226214830075454e-02,2.280637671025620605e+01
7.849950000000000045e+02,1.792350000000000065e+01,2.696163623967663980e+01,2.934084813322927667e-03,1.525183572710294908e-02,2.697982216021706492e+01
