frame_index,frame_label,previous_frame_label,coordination_event_count,formed_count,broken_count,pair
1500,set_000__step_00075050,set_000__step_00075000,40,21,19,O-Zn
1501,set_000__step_00075100,set_000__step_00075050,39,19,20,O-Zn
1502,set_000__step_00075150,set_000__step_00075100,46,27,19,O-Zn
1503,set_000__step_00075200,set_000__step_00075150,38,17,21,O-Zn
1504,set_000__step_00075250,set_000__step_00075200,45,19,26,O-Zn
1505,set_000__step_00075300,set_000__step_00075250,50,23,27,O-Zn
1506,set_000__step_00075350,set_000__step_00075300,46,21,25,O-Zn
1507,set_000__step_00075400,set_000__step_00075350,51,30,21,O-Zn
1508,set_000__step_00075450,set_000__step_00075400,48,31,17,O-Zn
1509,set_000__step_00075500,set_000__step_00075450,44,14,30,O-Zn
1510,set_000__step_00075550,set_000__step_00075500,55,32,23,O-Zn
1511,set_000__step_00075600,set_000__step_00075550,47,19,28,O-Zn
1512,set_000__step_00075650,set_000__step_00075600,47,28,19,O-Zn
1513,set_000__step_00075700,set_000__step_00075650,39,18,21,O-Zn
1514,set_000__step_00075750,set_000__step_00075700,54,25,29,O-Zn
1515,set_000__step_00075800,set_000__step_00075750,47,22,25,O-Zn
1516,set_000__step_00075850,set_000__step_00075800,51,28,23,O-Zn
1517,set_000__step_00075900,set_000__step_00075850,54,24,30,O-Zn
1518,set_000__step_00075950,set_000__step_00075900,54,27,27,O-Zn
1519,set_000__step_00076000,set_000__step_00075950,49,27,22,O-Zn
1520,set_000__step_00076050,set_000__step_00076000,46,24,22,O-Zn
1521,set_000__step_00076100,set_000__step_00076050,43,25,18,O-Zn
1522,set_000__step_00076150,set_000__step_00076100,45,16,29,O-Zn
1523,set_000__step_00076200,set_000__step_00076150,46,29,17,O-Zn
1524,set_000__step_00076250,set_000__step_00076200,42,19,23,O-Zn
1525,set_000__step_00076300,set_000__step_00076250,43,22,21,O-Zn
1526,set_000__step_00076350,set_000__step_00076300,48,18,30,O-Zn
1527,set_000__step_00076400,set_000__step_00076350,53,31,22,O-Zn
1528,set_000__step_00076450,set_000__step_00076400,54,21,33,O-Zn
1529,set_000__step_00076500,set_000__step_00076450,64,33,31,O-Zn
