atom_index,symbol,group
609,Zn,surface
610,Zn,surface
611,Zn,surface
612,Zn,surface
613,Zn,surface
614,O,surface
615,O,surface
616,O,surface
617,O,surface
618,O,surface
619,O,surface
620,Zn,surface
621,Zn,surface
622,Zn,surface
623,Zn,surface
624,O,surface
625,O,surface
626,O,surface
627,O,surface
628,Zn,surface
629,Zn,surface
630,Zn,surface
631,Zn,surface
632,Zn,surface
633,Zn,surface
634,O,surface
635,O,surface
636,O,surface
637,O,surface
638,O,surface
639,O,surface
640,Zn,surface
641,Zn,surface
642,Zn,surface
643,Zn,surface
644,O,surface
645,O,surface
646,O,surface
647,O,surface
648,Zn,surface
649,Zn,surface
650,Zn,surface
651,Zn,surface
652,Zn,surface
653,Zn,surface
654,O,surface
655,O,surface
656,O,surface
657,O,surface
658,O,surface
659,O,surface
660,Zn,surface
661,Zn,surface
662,Zn,surface
663,Zn,surface
664,O,surface
665,O,surface
666,O,surface
667,O,surface
668,Zn,surface
669,Zn,surface
670,Zn,surface
671,Zn,surface
672,Zn,surface
673,Zn,surface
674,O,surface
675,O,surface
676,O,surface
677,O,surface
678,O,surface
679,O,surface
680,Zn,surface
681,Zn,surface
682,Zn,surface
683,Zn,surface
684,O,surface
685,O,surface
686,O,surface
687,O,surface
688,Zn,surface
689,Zn,surface
690,Zn,surface
691,Zn,surface
692,Zn,surface
693,Zn,surface
694,O,surface
695,O,surface
696,O,surface
697,O,surface
698,O,surface
699,O,surface
700,Zn,surface
701,Zn,surface
702,Zn,surface
703,Zn,surface
704,O,surface
705,O,surface
706,O,surface
707,O,surface
708,Zn,surface
709,Zn,surface
710,Zn,surface
711,Zn,surface
712,Zn,surface
713,Zn,surface
714,O,surface
715,O,surface
716,O,surface
717,O,surface
718,O,surface
719,O,surface
720,Zn,surface
721,Zn,surface
722,Zn,surface
723,Zn,surface
724,O,surface
725,O,surface
726,O,surface
727,O,surface
728,Zn,surface
729,Zn,surface
730,Zn,surface
731,Zn,surface
732,Zn,surface
733,Zn,surface
734,O,surface
735,O,surface
736,O,surface
737,O,surface
738,O,surface
739,O,surface
740,Zn,surface
741,Zn,surface
742,Zn,surface
743,Zn,surface
744,O,surface
745,O,surface
746,O,surface
747,O,surface
748,Zn,surface
749,Zn,surface
750,Zn,surface
751,Zn,surface
752,Zn,surface
753,Zn,surface
754,O,surface
755,O,surface
756,O,surface
757,O,surface
758,O,surface
759,O,surface
760,Zn,surface
761,Zn,surface
762,Zn,surface
763,Zn,surface
764,O,surface
765,O,surface
766,O,surface
767,O,surface
768,Zn,surface
769,Zn,surface
770,Zn,surface
771,Zn,surface
772,Zn,surface
773,Zn,surface
774,O,surface
775,O,surface
776,O,surface
777,O,surface
778,O,surface
779,O,surface
780,Zn,surface
781,Zn,surface
782,Zn,surface
783,Zn,surface
784,O,surface
785,O,surface
786,O,surface
787,O,surface
788,Zn,surface
789,Zn,surface
790,Zn,surface
791,Zn,surface
792,Zn,surface
793,Zn,surface
794,O,surface
795,O,surface
796,O,surface
797,O,surface
798,O,surface
799,O,surface
800,Zn,surface
801,Zn,surface
802,Zn,surface
803,Zn,surface
804,O,surface
805,O,surface
806,O,surface
807,O,surface
808,Zn,surface
809,Zn,surface
810,Zn,surface
811,Zn,surface
812,Zn,surface
813,Zn,surface
814,O,surface
815,O,surface
816,O,surface
817,O,surface
818,O,surface
819,O,surface
820,Zn,surface
821,Zn,surface
822,Zn,surface
823,Zn,surface
824,O,surface
825,O,surface
826,O,surface
827,O,surface
828,Zn,surface
829,Zn,surface
830,Zn,surface
831,Zn,surface
832,Zn,surface
833,Zn,surface
834,O,surface
835,O,surface
836,O,surface
837,O,surface
838,O,surface
839,O,surface
840,Zn,surface
841,Zn,surface
842,Zn,surface
843,Zn,surface
844,O,surface
845,O,surface
846,O,surface
847,O,surface
848,Zn,surface
849,Zn,surface
850,Zn,surface
851,Zn,surface
852,Zn,surface
853,Zn,surface
854,O,surface
855,O,surface
856,O,surface
857,O,surface
858,O,surface
859,O,surface
860,Zn,surface
861,Zn,surface
862,Zn,surface
863,Zn,surface
864,O,surface
865,O,surface
866,O,surface
867,O,surface
868,Zn,surface
869,Zn,surface
870,Zn,surface
871,Zn,surface
872,Zn,surface
873,Zn,surface
874,O,surface
875,O,surface
876,O,surface
877,O,surface
878,O,surface
879,O,surface
880,Zn,surface
881,Zn,surface
882,Zn,surface
883,Zn,surface
884,O,surface
885,O,surface
886,O,surface
887,O,surface
888,Zn,surface
889,Zn,surface
890,Zn,surface
891,Zn,surface
892,Zn,surface
893,Zn,surface
894,O,surface
895,O,surface
896,O,surface
897,O,surface
898,O,surface
899,O,surface
900,Zn,surface
901,Zn,surface
902,Zn,surface
903,Zn,surface
904,O,surface
905,O,surface
906,O,surface
907,O,surface
