frame_index,frame_label,previous_frame_label,organic-surface,water-surface,organic-water
919,set_000__step_00046000,set_000__step_00045950,0,2,0
920,set_000__step_00046050,set_000__step_00046000,0,4,0
921,set_000__step_00046100,set_000__step_00046050,0,5,0
922,set_000__step_00046150,set_000__step_00046100,0,4,0
923,set_000__step_00046200,set_000__step_00046150,0,3,0
924,set_000__step_00046250,set_000__step_00046200,0,3,0
925,set_000__step_00046300,set_000__step_00046250,0,4,0
926,set_000__step_00046350,set_000__step_00046300,0,4,0
927,set_000__step_00046400,set_000__step_00046350,0,6,0
928,set_000__step_00046450,set_000__step_00046400,0,5,0
929,set_000__step_00046500,set_000__step_00046450,0,1,0
930,set_000__step_00046550,set_000__step_00046500,0,2,0
931,set_000__step_00046600,set_000__step_00046550,0,2,0
932,set_000__step_00046650,set_000__step_00046600,0,6,0
933,set_000__step_00046700,set_000__step_00046650,0,1,0
934,set_000__step_00046750,set_000__step_00046700,0,5,0
935,set_000__step_00046800,set_000__step_00046750,0,7,0
936,set_000__step_00046850,set_000__step_00046800,0,5,0
937,set_000__step_00046900,set_000__step_00046850,0,6,0
938,set_000__step_00046950,set_000__step_00046900,0,7,0
939,set_000__step_00047000,set_000__step_00046950,0,5,0
940,set_000__step_00047050,set_000__step_00047000,0,4,0
941,set_000__step_00047100,set_000__step_00047050,0,4,0
942,set_000__step_00047150,set_000__step_00047100,0,1,0
943,set_000__step_00047200,set_000__step_00047150,0,2,0
944,set_000__step_00047250,set_000__step_00047200,0,1,0
945,set_000__step_00047300,set_000__step_00047250,0,3,0
946,set_000__step_00047350,set_000__step_00047300,0,2,0
947,set_000__step_00047400,set_000__step_00047350,0,3,0
948,set_000__step_00047450,set_000__step_00047400,0,3,0
949,set_000__step_00047500,set_000__step_00047450,0,2,0
950,set_000__step_00047550,set_000__step_00047500,0,3,0
951,set_000__step_00047600,set_000__step_00047550,0,4,0
952,set_000__step_00047650,set_000__step_00047600,0,4,0
953,set_000__step_00047700,set_000__step_00047650,0,6,0
954,set_000__step_00047750,set_000__step_00047700,0,5,0
955,set_000__step_00047800,set_000__step_00047750,0,2,0
956,set_000__step_00047850,set_000__step_00047800,0,4,0
957,set_000__step_00047900,set_000__step_00047850,0,1,0
958,set_000__step_00047950,set_000__step_00047900,0,3,0
959,set_000__step_00048000,set_000__step_00047950,0,4,0
960,set_000__step_00048050,set_000__step_00048000,0,1,0
961,set_000__step_00048100,set_000__step_00048050,0,3,0
962,set_000__step_00048150,set_000__step_00048100,0,2,0
963,set_000__step_00048200,set_000__step_00048150,0,1,0
964,set_000__step_00048250,set_000__step_00048200,0,0,0
965,set_000__step_00048300,set_000__step_00048250,0,1,0
966,set_000__step_00048350,set_000__step_00048300,0,3,0
967,set_000__step_00048400,set_000__step_00048350,0,5,0
968,set_000__step_00048450,set_000__step_00048400,0,4,0
969,set_000__step_00048500,set_000__step_00048450,0,4,0
970,set_000__step_00048550,set_000__step_00048500,0,5,0
971,set_000__step_00048600,set_000__step_00048550,0,3,0
972,set_000__step_00048650,set_000__step_00048600,0,2,0
973,set_000__step_00048700,set_000__step_00048650,0,3,0
974,set_000__step_00048750,set_000__step_00048700,0,2,0
975,set_000__step_00048800,set_000__step_00048750,0,3,0
976,set_000__step_00048850,set_000__step_00048800,0,3,0
977,set_000__step_00048900,set_000__step_00048850,0,2,0
978,set_000__step_00048950,set_000__step_00048900,0,4,0
979,set_000__step_00049000,set_000__step_00048950,0,3,0
980,set_000__step_00049050,set_000__step_00049000,0,2,0
981,set_000__step_00049100,set_000__step_00049050,0,5,0
982,set_000__step_00049150,set_000__step_00049100,0,4,0
983,set_000__step_00049200,set_000__step_00049150,0,4,0
984,set_000__step_00049250,set_000__step_00049200,0,4,0
985,set_000__step_00049300,set_000__step_00049250,0,4,0
986,set_000__step_00049350,set_000__step_00049300,0,4,0
987,set_000__step_00049400,set_000__step_00049350,0,5,0
988,set_000__step_00049450,set_000__step_00049400,0,4,0
989,set_000__step_00049500,set_000__step_00049450,0,3,0
990,set_000__step_00049550,set_000__step_00049500,0,6,0
991,set_000__step_00049600,set_000__step_00049550,0,3,0
992,set_000__step_00049650,set_000__step_00049600,0,2,0
993,set_000__step_00049700,set_000__step_00049650,0,5,0
994,set_000__step_00049750,set_000__step_00049700,0,3,0
995,set_000__step_00049800,set_000__step_00049750,0,6,0
996,set_000__step_00049850,set_000__step_00049800,0,3,0
997,set_000__step_00049900,set_000__step_00049850,0,4,0
998,set_000__step_00049950,set_000__step_00049900,0,5,0
999,set_000__step_00050000,set_000__step_00049950,0,4,0
1000,set_000__step_00050050,set_000__step_00050000,0,6,0
1001,set_000__step_00050100,set_000__step_00050050,0,9,0
1002,set_000__step_00050150,set_000__step_00050100,0,6,0
1003,set_000__step_00050200,set_000__step_00050150,0,4,0
1004,set_000__step_00050250,set_000__step_00050200,0,5,0
1005,set_000__step_00050300,set_000__step_00050250,0,3,0
1006,set_000__step_00050350,set_000__step_00050300,0,1,0
1007,set_000__step_00050400,set_000__step_00050350,0,4,0
1008,set_000__step_00050450,set_000__step_00050400,0,6,0
1009,set_000__step_00050500,set_000__step_00050450,0,2,0
1010,set_000__step_00050550,set_000__step_00050500,0,5,0
1011,set_000__step_00050600,set_000__step_00050550,0,4,0
1012,set_000__step_00050650,set_000__step_00050600,0,2,0
1013,set_000__step_00050700,set_000__step_00050650,0,3,0
1014,set_000__step_00050750,set_000__step_00050700,0,1,0
1015,set_000__step_00050800,set_000__step_00050750,0,2,0
1016,set_000__step_00050850,set_000__step_00050800,0,3,0
1017,set_000__step_00050900,set_000__step_00050850,0,5,0
1018,set_000__step_00050950,set_000__step_00050900,0,6,0
1019,set_000__step_00051000,set_000__step_00050950,0,5,0
1020,set_000__step_00051050,set_000__step_00051000,0,1,0
1021,set_000__step_00051100,set_000__step_00051050,0,4,0
1022,set_000__step_00051150,set_000__step_00051100,0,5,0
1023,set_000__step_00051200,set_000__step_00051150,0,4,0
1024,set_000__step_00051250,set_000__step_00051200,0,7,0
1025,set_000__step_00051300,set_000__step_00051250,0,6,0
1026,set_000__step_00051350,set_000__step_00051300,0,10,0
1027,set_000__step_00051400,set_000__step_00051350,0,4,0
1028,set_000__step_00051450,set_000__step_00051400,0,6,0
1029,set_000__step_00051500,set_000__step_00051450,0,5,0
1030,set_000__step_00051550,set_000__step_00051500,0,3,0
1031,set_000__step_00051600,set_000__step_00051550,0,3,0
1032,set_000__step_00051650,set_000__step_00051600,0,7,0
1033,set_000__step_00051700,set_000__step_00051650,0,9,0
1034,set_000__step_00051750,set_000__step_00051700,0,10,0
1035,set_000__step_00051800,set_000__step_00051750,0,8,0
1036,set_000__step_00051850,set_000__step_00051800,0,2,0
1037,set_000__step_00051900,set_000__step_00051850,0,8,0
1038,set_000__step_00051950,set_000__step_00051900,0,4,0
1039,set_000__step_00052000,set_000__step_00051950,0,3,0
1040,set_000__step_00052050,set_000__step_00052000,0,5,0
1041,set_000__step_00052100,set_000__step_00052050,0,3,0
1042,set_000__step_00052150,set_000__step_00052100,0,5,0
1043,set_000__step_00052200,set_000__step_00052150,0,6,0
1044,set_000__step_00052250,set_000__step_00052200,0,7,0
1045,set_000__step_00052300,set_000__step_00052250,0,5,0
1046,set_000__step_00052350,set_000__step_00052300,0,8,0
1047,set_000__step_00052400,set_000__step_00052350,0,4,0
1048,set_000__step_00052450,set_000__step_00052400,0,4,0
1049,set_000__step_00052500,set_000__step_00052450,0,7,0
1050,set_000__step_00052550,set_000__step_00052500,0,6,0
1051,set_000__step_00052600,set_000__step_00052550,0,9,0
1052,set_000__step_00052650,set_000__step_00052600,0,2,0
1053,set_000__step_00052700,set_000__step_00052650,0,1,0
1054,set_000__step_00052750,set_000__step_00052700,0,6,0
1055,set_000__step_00052800,set_000__step_00052750,0,5,0
1056,set_000__step_00052850,set_000__step_00052800,0,4,0
1057,set_000__step_00052900,set_000__step_00052850,0,8,0
1058,set_000__step_00052950,set_000__step_00052900,0,6,0
1059,set_000__step_00053000,set_000__step_00052950,0,4,0
1060,set_000__step_00053050,set_000__step_00053000,0,2,0
1061,set_000__step_00053100,set_000__step_00053050,0,7,0
1062,set_000__step_00053150,set_000__step_00053100,0,4,0
1063,set_000__step_00053200,set_000__step_00053150,0,4,0
1064,set_000__step_00053250,set_000__step_00053200,0,5,0
1065,set_000__step_00053300,set_000__step_00053250,0,5,0
1066,set_000__step_00053350,set_000__step_00053300,0,8,0
1067,set_000__step_00053400,set_000__step_00053350,0,7,0
1068,set_000__step_00053450,set_000__step_00053400,0,1,0
