frame_index,frame_label,previous_frame_label,event_type,atom_i,atom_j,symbol_i,symbol_j,pair,distance_broken,distance_formed
2851,set_001__step_00142600,set_001__step_00142550,broken,139,961,O,C,C-O,1.371675,
2852,set_001__step_00142650,set_001__step_00142600,formed,139,961,O,C,C-O,,1.493449
2945,set_001__step_00147300,set_001__step_00147250,broken,139,961,O,C,C-O,1.419755,
2946,set_001__step_00147350,set_001__step_00147300,formed,139,961,O,C,C-O,,1.503324
3004,set_001__step_00150250,set_001__step_00150200,broken,139,961,O,C,C-O,1.439150,
3005,set_001__step_00150300,set_001__step_00150250,formed,139,961,O,C,C-O,,1.409029
3010,set_001__step_00150550,set_001__step_00150500,broken,139,961,O,C,C-O,1.387855,
3011,set_001__step_00150600,set_001__step_00150550,formed,139,961,O,C,C-O,,1.310863
3012,set_001__step_00150650,set_001__step_00150600,broken,139,961,O,C,C-O,1.310863,
3013,set_001__step_00150700,set_001__step_00150650,formed,139,961,O,C,C-O,,1.439784
3014,set_001__step_00150750,set_001__step_00150700,broken,139,961,O,C,C-O,1.439784,
3015,set_001__step_00150800,set_001__step_00150750,formed,139,961,O,C,C-O,,1.501149
3023,set_001__step_00151200,set_001__step_00151150,broken,139,961,O,C,C-O,1.482790,
3024,set_001__step_00151250,set_001__step_00151200,formed,139,961,O,C,C-O,,1.392911
3060,set_001__step_00153050,set_001__step_00153000,broken,139,961,O,C,C-O,1.393090,
3061,set_001__step_00153100,set_001__step_00153050,formed,139,961,O,C,C-O,,1.394049
3062,set_001__step_00153150,set_001__step_00153100,broken,139,961,O,C,C-O,1.394049,
3063,set_001__step_00153200,set_001__step_00153150,formed,139,961,O,C,C-O,,1.462207
3075,set_001__step_00153800,set_001__step_00153750,broken,139,961,O,C,C-O,1.428699,
3076,set_001__step_00153850,set_001__step_00153800,formed,139,961,O,C,C-O,,1.401017
3126,set_001__step_00156350,set_001__step_00156300,broken,139,961,O,C,C-O,1.363989,
3127,set_001__step_00156400,set_001__step_00156350,formed,139,961,O,C,C-O,,1.391777
3128,set_001__step_00156450,set_001__step_00156400,broken,139,961,O,C,C-O,1.391777,
3129,set_001__step_00156500,set_001__step_00156450,formed,139,961,O,C,C-O,,1.371235
3130,set_001__step_00156550,set_001__step_00156500,broken,139,961,O,C,C-O,1.371235,
3131,set_001__step_00156600,set_001__step_00156550,formed,139,961,O,C,C-O,,1.406834
3162,set_001__step_00158150,set_001__step_00158100,broken,139,961,O,C,C-O,1.444946,
3163,set_001__step_00158200,set_001__step_00158150,formed,139,961,O,C,C-O,,1.477332
3188,set_001__step_00159450,set_001__step_00159400,broken,139,961,O,C,C-O,1.465558,
3189,set_001__step_00159500,set_001__step_00159450,formed,139,961,O,C,C-O,,1.394869
