frame_index,frame_label,previous_frame_label,interface_type,event_type,atom_i,atom_j,group_i,group_j,symbol_i,symbol_j,pair,distance_broken,distance_formed
28,set_000__step_00014050,set_000__step_00013550,water-surface,formed,59,1050,surface,water,O,H,H-O,,1.002908
28,set_000__step_00014050,set_000__step_00013550,water-surface,formed,368,1045,surface,water,Zn,O,O-Zn,,1.962456
28,set_000__step_00014050,set_000__step_00013550,water-surface,formed,453,1015,surface,water,Zn,O,O-Zn,,2.022904
28,set_000__step_00014050,set_000__step_00013550,water-surface,formed,693,1012,surface,water,Zn,O,O-Zn,,2.092201
28,set_000__step_00014050,set_000__step_00013550,water-surface,formed,873,1051,surface,water,Zn,O,O-Zn,,2.114021
28,set_000__step_00014050,set_000__step_00013550,water-surface,broken,33,1027,surface,water,Zn,O,O-Zn,1.825975,
28,set_000__step_00014050,set_000__step_00013550,water-surface,broken,259,1034,surface,water,O,H,H-O,1.021515,
28,set_000__step_00014050,set_000__step_00013550,water-surface,broken,719,1029,surface,water,O,H,H-O,1.221185,
28,set_000__step_00014050,set_000__step_00013550,organic-surface,broken,773,969,surface,organic,Zn,O,O-Zn,2.173998,
29,set_000__step_00014550,set_000__step_00014050,water-surface,formed,959,1022,surface,water,O,H,H-O,,1.094790
29,set_000__step_00014550,set_000__step_00014050,water-surface,broken,59,1050,surface,water,O,H,H-O,1.002908,
29,set_000__step_00014550,set_000__step_00014050,water-surface,broken,333,1048,surface,water,Zn,O,O-Zn,1.972566,
29,set_000__step_00014550,set_000__step_00014050,water-surface,broken,453,1015,surface,water,Zn,O,O-Zn,2.022904,
30,set_000__step_00015050,set_000__step_00014550,water-surface,formed,33,1027,surface,water,Zn,O,O-Zn,,2.013004
30,set_000__step_00015050,set_000__step_00014550,water-surface,formed,453,1015,surface,water,Zn,O,O-Zn,,2.150673
30,set_000__step_00015050,set_000__step_00014550,water-surface,formed,839,1053,surface,water,O,H,H-O,,1.111580
30,set_000__step_00015050,set_000__step_00014550,water-surface,broken,368,1045,surface,water,Zn,O,O-Zn,2.136159,
30,set_000__step_00015050,set_000__step_00014550,water-surface,broken,959,1022,surface,water,O,H,H-O,1.094790,
31,set_000__step_00015550,set_000__step_00015050,water-surface,formed,333,1048,surface,water,Zn,O,O-Zn,,2.033235
31,set_000__step_00015550,set_000__step_00015050,water-surface,formed,368,1045,surface,water,Zn,O,O-Zn,,2.183565
31,set_000__step_00015550,set_000__step_00015050,organic-surface,formed,773,969,surface,organic,Zn,O,O-Zn,,2.104146
31,set_000__step_00015550,set_000__step_00015050,water-surface,broken,33,1027,surface,water,Zn,O,O-Zn,2.013004,
31,set_000__step_00015550,set_000__step_00015050,water-surface,broken,354,1043,surface,water,O,H,H-O,1.138324,
31,set_000__step_00015550,set_000__step_00015050,water-surface,broken,839,1053,surface,water,O,H,H-O,1.111580,
32,set_000__step_00016050,set_000__step_00015550,water-surface,formed,259,1034,surface,water,O,H,H-O,,1.151720
32,set_000__step_00016050,set_000__step_00015550,water-surface,formed,354,1043,surface,water,O,H,H-O,,1.074667
32,set_000__step_00016050,set_000__step_00015550,water-surface,broken,453,1015,surface,water,Zn,O,O-Zn,2.112252,
32,set_000__step_00016050,set_000__step_00015550,water-surface,broken,879,1038,surface,water,O,H,H-O,1.016575,
33,set_000__step_00016550,set_000__step_00016050,water-surface,formed,33,1027,surface,water,Zn,O,O-Zn,,2.010525
33,set_000__step_00016550,set_000__step_00016050,water-surface,formed,59,1050,surface,water,O,H,H-O,,0.929493
33,set_000__step_00016550,set_000__step_00016050,water-surface,formed,453,1015,surface,water,Zn,O,O-Zn,,2.139321
33,set_000__step_00016550,set_000__step_00016050,water-surface,formed,839,1053,surface,water,O,H,H-O,,1.097296
33,set_000__step_00016550,set_000__step_00016050,water-surface,formed,879,1038,surface,water,O,H,H-O,,1.030247
33,set_000__step_00016550,set_000__step_00016050,water-surface,broken,259,1034,surface,water,O,H,H-O,1.151720,
