frame_index,frame_label,previous_frame_label,interface_type,event_type,atom_i,atom_j,group_i,group_j,symbol_i,symbol_j,pair,distance_broken,distance_formed
52,set_000__step_00026050,set_000__step_00025550,water-surface,broken,288,997,surface,water,Zn,O,O-Zn,1.922488,
52,set_000__step_00026050,set_000__step_00025550,water-surface,broken,293,1033,surface,water,Zn,O,O-Zn,2.076393,
52,set_000__step_00026050,set_000__step_00025550,water-surface,broken,333,1048,surface,water,Zn,O,O-Zn,2.026769,
53,set_000__step_00026550,set_000__step_00026050,water-surface,formed,259,1034,surface,water,O,H,H-O,,1.011605
53,set_000__step_00026550,set_000__step_00026050,water-surface,formed,288,997,surface,water,Zn,O,O-Zn,,2.171065
53,set_000__step_00026550,set_000__step_00026050,water-surface,formed,293,1033,surface,water,Zn,O,O-Zn,,2.057483
53,set_000__step_00026550,set_000__step_00026050,water-surface,broken,254,998,surface,water,O,H,H-O,1.058970,
53,set_000__step_00026550,set_000__step_00026050,water-surface,broken,659,1014,surface,water,O,H,H-O,0.978362,
54,set_000__step_00027050,set_000__step_00026550,water-surface,formed,254,998,surface,water,O,H,H-O,,1.042467
54,set_000__step_00027050,set_000__step_00026550,water-surface,formed,419,1016,surface,water,O,H,H-O,,1.097447
54,set_000__step_00027050,set_000__step_00026550,water-surface,formed,834,996,surface,water,O,H,H-O,,1.068133
54,set_000__step_00027050,set_000__step_00026550,water-surface,broken,259,1034,surface,water,O,H,H-O,1.011605,
55,set_000__step_00027550,set_000__step_00027050,water-surface,formed,88,1057,surface,water,Zn,O,O-Zn,,2.067853
55,set_000__step_00027550,set_000__step_00027050,water-surface,formed,259,1034,surface,water,O,H,H-O,,1.086896
55,set_000__step_00027550,set_000__step_00027050,water-surface,formed,333,1048,surface,water,Zn,O,O-Zn,,2.169718
55,set_000__step_00027550,set_000__step_00027050,water-surface,formed,659,1014,surface,water,O,H,H-O,,1.076735
55,set_000__step_00027550,set_000__step_00027050,water-surface,broken,419,1016,surface,water,O,H,H-O,1.097447,
55,set_000__step_00027550,set_000__step_00027050,water-surface,broken,879,1038,surface,water,O,H,H-O,1.115859,
56,set_000__step_00028050,set_000__step_00027550,water-surface,formed,879,1038,surface,water,O,H,H-O,,1.085067
56,set_000__step_00028050,set_000__step_00027550,water-surface,broken,33,1027,surface,water,Zn,O,O-Zn,2.050985,
56,set_000__step_00028050,set_000__step_00027550,water-surface,broken,453,1015,surface,water,Zn,O,O-Zn,2.086151,
56,set_000__step_00028050,set_000__step_00027550,water-surface,broken,659,1014,surface,water,O,H,H-O,1.076735,
57,set_000__step_00028550,set_000__step_00028050,water-surface,formed,33,1027,surface,water,Zn,O,O-Zn,,2.069316
57,set_000__step_00028550,set_000__step_00028050,water-surface,formed,659,1014,surface,water,O,H,H-O,,1.070971
57,set_000__step_00028550,set_000__step_00028050,water-surface,formed,774,1058,surface,water,O,H,H-O,,0.995281
57,set_000__step_00028550,set_000__step_00028050,water-surface,broken,193,1036,surface,water,Zn,O,O-Zn,2.138308,
57,set_000__step_00028550,set_000__step_00028050,water-surface,broken,879,1038,surface,water,O,H,H-O,1.085067,
58,set_000__step_00029050,set_000__step_00028550,water-surface,formed,453,1015,surface,water,Zn,O,O-Zn,,2.175662
59,set_000__step_00029550,set_000__step_00029050,water-surface,formed,193,1036,surface,water,Zn,O,O-Zn,,1.993135
59,set_000__step_00029550,set_000__step_00029050,water-surface,broken,659,1014,surface,water,O,H,H-O,1.123029,
59,set_000__step_00029550,set_000__step_00029050,water-surface,broken,774,1058,surface,water,O,H,H-O,1.231931,
60,set_000__step_00030050,set_000__step_00029550,water-surface,formed,879,1038,surface,water,O,H,H-O,,1.062433
60,set_000__step_00030050,set_000__step_00029550,organic-surface,broken,773,969,surface,organic,Zn,O,O-Zn,2.132744,
61,set_000__step_00030550,set_000__step_00030050,water-surface,formed,334,1047,surface,water,O,H,H-O,,1.218913
61,set_000__step_00030550,set_000__step_00030050,water-surface,formed,774,1058,surface,water,O,H,H-O,,1.045543
61,set_000__step_00030550,set_000__step_00030050,water-surface,broken,354,1043,surface,water,O,H,H-O,1.052789,
62,set_000__step_00031050,set_000__step_00030550,water-surface,formed,354,1043,surface,water,O,H,H-O,,1.085272
62,set_000__step_00031050,set_000__step_00030550,water-surface,formed,659,1014,surface,water,O,H,H-O,,1.013440
62,set_000__step_00031050,set_000__step_00030550,organic-surface,formed,773,969,surface,organic,Zn,O,O-Zn,,2.028501
62,set_000__step_00031050,set_000__step_00030550,water-surface,broken,253,1021,surface,water,Zn,O,O-Zn,1.967578,
62,set_000__step_00031050,set_000__step_00030550,water-surface,broken,334,1047,surface,water,O,H,H-O,1.218913,
62,set_000__step_00031050,set_000__step_00030550,water-surface,broken,368,1045,surface,water,Zn,O,O-Zn,2.148709,
62,set_000__step_00031050,set_000__step_00030550,water-surface,broken,388,1042,surface,water,Zn,O,O-Zn,2.131545,
62,set_000__step_00031050,set_000__step_00030550,water-surface,broken,774,1058,surface,water,O,H,H-O,1.045543,
63,set_000__step_00031550,set_000__step_00031050,water-surface,formed,253,1021,surface,water,Zn,O,O-Zn,,2.123109
63,set_000__step_00031550,set_000__step_00031050,water-surface,formed,368,1045,surface,water,Zn,O,O-Zn,,2.045212
63,set_000__step_00031550,set_000__step_00031050,water-surface,formed,388,1042,surface,water,Zn,O,O-Zn,,1.925929
63,set_000__step_00031550,set_000__step_00031050,water-surface,formed,774,1058,surface,water,O,H,H-O,,1.158171
63,set_000__step_00031550,set_000__step_00031050,water-surface,broken,33,1027,surface,water,Zn,O,O-Zn,2.121451,
63,set_000__step_00031550,set_000__step_00031050,water-surface,broken,273,1021,surface,water,Zn,O,O-Zn,2.015291,
63,set_000__step_00031550,set_000__step_00031050,water-surface,broken,659,1014,surface,water,O,H,H-O,1.013440,
63,set_000__step_00031550,set_000__step_00031050,water-surface,broken,834,996,surface,water,O,H,H-O,1.079930,
63,set_000__step_00031550,set_000__step_00031050,water-surface,broken,879,1038,surface,water,O,H,H-O,1.138838,
64,set_000__step_00032050,set_000__step_00031550,water-surface,formed,33,1027,surface,water,Zn,O,O-Zn,,2.133618
64,set_000__step_00032050,set_000__step_00031550,water-surface,formed,273,1021,surface,water,Zn,O,O-Zn,,2.185399
64,set_000__step_00032050,set_000__step_00031550,water-surface,formed,419,1016,surface,water,O,H,H-O,,1.045258
64,set_000__step_00032050,set_000__step_00031550,water-surface,formed,834,996,surface,water,O,H,H-O,,1.057627
64,set_000__step_00032050,set_000__step_00031550,water-surface,formed,879,1038,surface,water,O,H,H-O,,1.090149
64,set_000__step_00032050,set_000__step_00031550,water-surface,broken,259,1034,surface,water,O,H,H-O,0.966379,
64,set_000__step_00032050,set_000__step_00031550,water-surface,broken,293,1033,surface,water,Zn,O,O-Zn,2.036138,
64,set_000__step_00032050,set_000__step_00031550,water-surface,broken,333,1048,surface,water,Zn,O,O-Zn,2.126796,
64,set_000__step_00032050,set_000__step_00031550,water-surface,broken,354,1043,surface,water,O,H,H-O,1.027925,
64,set_000__step_00032050,set_000__step_00031550,water-surface,broken,388,1042,surface,water,Zn,O,O-Zn,1.925929,
64,set_000__step_00032050,set_000__step_00031550,water-surface,broken,774,1058,surface,water,O,H,H-O,1.158171,
65,set_000__step_00032550,set_000__step_00032050,water-surface,formed,74,1004,surface,water,O,H,H-O,,1.030834
65,set_000__step_00032550,set_000__step_00032050,water-surface,formed,259,1034,surface,water,O,H,H-O,,1.013368
65,set_000__step_00032550,set_000__step_00032050,water-surface,formed,293,1033,surface,water,Zn,O,O-Zn,,1.917107
65,set_000__step_00032550,set_000__step_00032050,water-surface,formed,333,1048,surface,water,Zn,O,O-Zn,,2.162585
65,set_000__step_00032550,set_000__step_00032050,water-surface,formed,348,1003,surface,water,Zn,O,O-Zn,,1.923520
65,set_000__step_00032550,set_000__step_00032050,water-surface,formed,354,1043,surface,water,O,H,H-O,,0.960437
65,set_000__step_00032550,set_000__step_00032050,water-surface,formed,388,1042,surface,water,Zn,O,O-Zn,,2.010466
65,set_000__step_00032550,set_000__step_00032050,water-surface,formed,659,1014,surface,water,O,H,H-O,,1.162665
65,set_000__step_00032550,set_000__step_00032050,water-surface,broken,33,1027,surface,water,Zn,O,O-Zn,2.133618,
65,set_000__step_00032550,set_000__step_00032050,water-surface,broken,68,1009,surface,water,Zn,O,O-Zn,1.959232,
65,set_000__step_00032550,set_000__step_00032050,water-surface,broken,419,1016,surface,water,O,H,H-O,1.045258,
66,set_000__step_00033050,set_000__step_00032550,water-surface,formed,33,1027,surface,water,Zn,O,O-Zn,,2.028116
66,set_000__step_00033050,set_000__step_00032550,water-surface,formed,68,1009,surface,water,Zn,O,O-Zn,,2.041192
66,set_000__step_00033050,set_000__step_00032550,water-surface,formed,328,1003,surface,water,Zn,O,O-Zn,,2.015874
66,set_000__step_00033050,set_000__step_00032550,water-surface,formed,774,1058,surface,water,O,H,H-O,,1.188538
66,set_000__step_00033050,set_000__step_00032550,water-surface,broken,659,1014,surface,water,O,H,H-O,1.162665,
67,set_000__step_00033550,set_000__step_00033050,water-surface,formed,659,1014,surface,water,O,H,H-O,,1.112295
67,set_000__step_00033550,set_000__step_00033050,water-surface,broken,33,1027,surface,water,Zn,O,O-Zn,2.028116,
67,set_000__step_00033550,set_000__step_00033050,water-surface,broken,328,1003,surface,water,Zn,O,O-Zn,2.015874,
67,set_000__step_00033550,set_000__step_00033050,water-surface,broken,453,1015,surface,water,Zn,O,O-Zn,1.970881,
67,set_000__step_00033550,set_000__step_00033050,organic-surface,broken,773,969,surface,organic,Zn,O,O-Zn,2.162142,
68,set_000__step_00034050,set_000__step_00033550,water-surface,formed,59,1050,surface,water,O,H,H-O,,1.128304
68,set_000__step_00034050,set_000__step_00033550,water-surface,formed,453,1015,surface,water,Zn,O,O-Zn,,2.078046
68,set_000__step_00034050,set_000__step_00033550,organic-surface,formed,773,969,surface,organic,Zn,O,O-Zn,,2.077640
68,set_000__step_00034050,set_000__step_00033550,water-surface,broken,659,1014,surface,water,O,H,H-O,1.112295,
68,set_000__step_00034050,set_000__step_00033550,water-surface,broken,774,1058,surface,water,O,H,H-O,1.009672,
69,set_000__step_00034550,set_000__step_00034050,water-surface,formed,328,1003,surface,water,Zn,O,O-Zn,,2.002848
69,set_000__step_00034550,set_000__step_00034050,water-surface,formed,648,1039,surface,water,Zn,O,O-Zn,,2.155665
69,set_000__step_00034550,set_000__step_00034050,water-surface,formed,659,1014,surface,water,O,H,H-O,,0.970287
69,set_000__step_00034550,set_000__step_00034050,water-surface,formed,774,1058,surface,water,O,H,H-O,,1.222987
69,set_000__step_00034550,set_000__step_00034050,water-surface,broken,59,1050,surface,water,O,H,H-O,1.128304,
69,set_000__step_00034550,set_000__step_00034050,organic-surface,broken,773,969,surface,organic,Zn,O,O-Zn,2.077640,
70,set_000__step_00035050,set_000__step_00034550,water-surface,formed,59,1050,surface,water,O,H,H-O,,1.181818
70,set_000__step_00035050,set_000__step_00034550,water-surface,formed,374,1041,surface,water,O,H,H-O,,1.055663
70,set_000__step_00035050,set_000__step_00034550,water-surface,broken,253,1021,surface,water,Zn,O,O-Zn,2.033651,
70,set_000__step_00035050,set_000__step_00034550,water-surface,broken,259,1034,surface,water,O,H,H-O,1.023734,
70,set_000__step_00035050,set_000__step_00034550,water-surface,broken,328,1003,surface,water,Zn,O,O-Zn,2.002848,
71,set_000__step_00035550,set_000__step_00035050,water-surface,formed,33,1027,surface,water,Zn,O,O-Zn,,2.166226
71,set_000__step_00035550,set_000__step_00035050,water-surface,formed,228,1030,surface,water,Zn,O,O-Zn,,2.074300
71,set_000__step_00035550,set_000__step_00035050,water-surface,formed,253,1021,surface,water,Zn,O,O-Zn,,2.021194
71,set_000__step_00035550,set_000__step_00035050,water-surface,formed,259,1034,surface,water,O,H,H-O,,1.013125
71,set_000__step_00035550,set_000__step_00035050,water-surface,formed,328,1003,surface,water,Zn,O,O-Zn,,2.158700
71,set_000__step_00035550,set_000__step_00035050,organic-surface,formed,773,969,surface,organic,Zn,O,O-Zn,,2.187114
71,set_000__step_00035550,set_000__step_00035050,water-surface,broken,254,998,surface,water,O,H,H-O,1.067589,
71,set_000__step_00035550,set_000__step_00035050,water-surface,broken,659,1014,surface,water,O,H,H-O,1.128162,
72,set_000__step_00036050,set_000__step_00035550,water-surface,formed,254,998,surface,water,O,H,H-O,,1.032065
72,set_000__step_00036050,set_000__step_00035550,water-surface,formed,659,1014,surface,water,O,H,H-O,,0.955333
72,set_000__step_00036050,set_000__step_00035550,water-surface,broken,59,1050,surface,water,O,H,H-O,1.104528,
72,set_000__step_00036050,set_000__step_00035550,water-surface,broken,328,1003,surface,water,Zn,O,O-Zn,2.158700,
72,set_000__step_00036050,set_000__step_00035550,water-surface,broken,768,1006,surface,water,Zn,O,O-Zn,2.026236,
73,set_000__step_00036550,set_000__step_00036050,water-surface,formed,59,1050,surface,water,O,H,H-O,,1.100316
73,set_000__step_00036550,set_000__step_00036050,water-surface,formed,768,1006,surface,water,Zn,O,O-Zn,,2.190897
73,set_000__step_00036550,set_000__step_00036050,water-surface,broken,374,1041,surface,water,O,H,H-O,1.005813,
73,set_000__step_00036550,set_000__step_00036050,water-surface,broken,648,1039,surface,water,Zn,O,O-Zn,1.856950,
74,set_000__step_00037050,set_000__step_00036550,water-surface,formed,374,1041,surface,water,O,H,H-O,,1.073961
74,set_000__step_00037050,set_000__step_00036550,water-surface,formed,648,1039,surface,water,Zn,O,O-Zn,,2.026922
74,set_000__step_00037050,set_000__step_00036550,water-surface,formed,893,1000,surface,water,Zn,O,O-Zn,,2.031897
74,set_000__step_00037050,set_000__step_00036550,water-surface,broken,228,1030,surface,water,Zn,O,O-Zn,2.073348,
74,set_000__step_00037050,set_000__step_00036550,water-surface,broken,253,1021,surface,water,Zn,O,O-Zn,1.986882,
74,set_000__step_00037050,set_000__step_00036550,water-surface,broken,288,997,surface,water,Zn,O,O-Zn,1.887875,
74,set_000__step_00037050,set_000__step_00036550,water-surface,broken,873,1051,surface,water,Zn,O,O-Zn,1.823624,
75,set_000__step_00037550,set_000__step_00037050,water-surface,formed,228,1030,surface,water,Zn,O,O-Zn,,2.135125
75,set_000__step_00037550,set_000__step_00037050,water-surface,formed,253,1021,surface,water,Zn,O,O-Zn,,2.025944
75,set_000__step_00037550,set_000__step_00037050,water-surface,formed,288,997,surface,water,Zn,O,O-Zn,,1.943728
75,set_000__step_00037550,set_000__step_00037050,water-surface,formed,328,1003,surface,water,Zn,O,O-Zn,,2.082310
75,set_000__step_00037550,set_000__step_00037050,water-surface,formed,619,1002,surface,water,O,H,H-O,,1.050079
75,set_000__step_00037550,set_000__step_00037050,water-surface,formed,873,1051,surface,water,Zn,O,O-Zn,,2.156668
75,set_000__step_00037550,set_000__step_00037050,water-surface,broken,59,1050,surface,water,O,H,H-O,1.153849,
75,set_000__step_00037550,set_000__step_00037050,water-surface,broken,68,1009,surface,water,Zn,O,O-Zn,2.172988,
75,set_000__step_00037550,set_000__step_00037050,water-surface,broken,259,1034,surface,water,O,H,H-O,0.993698,
75,set_000__step_00037550,set_000__step_00037050,water-surface,broken,293,1033,surface,water,Zn,O,O-Zn,1.897696,
75,set_000__step_00037550,set_000__step_00037050,water-surface,broken,374,1041,surface,water,O,H,H-O,1.073961,
75,set_000__step_00037550,set_000__step_00037050,water-surface,broken,659,1014,surface,water,O,H,H-O,1.060381,
75,set_000__step_00037550,set_000__step_00037050,organic-surface,broken,773,969,surface,organic,Zn,O,O-Zn,2.125642,
76,set_000__step_00038050,set_000__step_00037550,water-surface,formed,68,1009,surface,water,Zn,O,O-Zn,,1.931372
76,set_000__step_00038050,set_000__step_00037550,water-surface,formed,259,1034,surface,water,O,H,H-O,,1.021342
76,set_000__step_00038050,set_000__step_00037550,water-surface,formed,293,1033,surface,water,Zn,O,O-Zn,,1.964255
76,set_000__step_00038050,set_000__step_00037550,organic-surface,formed,773,969,surface,organic,Zn,O,O-Zn,,1.982658
76,set_000__step_00038050,set_000__step_00037550,water-surface,broken,348,1003,surface,water,Zn,O,O-Zn,1.937045,
76,set_000__step_00038050,set_000__step_00037550,water-surface,broken,453,1015,surface,water,Zn,O,O-Zn,2.176051,
76,set_000__step_00038050,set_000__step_00037550,water-surface,broken,619,1002,surface,water,O,H,H-O,1.050079,
77,set_000__step_00038550,set_000__step_00038050,water-surface,formed,348,1003,surface,water,Zn,O,O-Zn,,1.819830
77,set_000__step_00038550,set_000__step_00038050,water-surface,formed,374,1041,surface,water,O,H,H-O,,1.010820
77,set_000__step_00038550,set_000__step_00038050,water-surface,formed,453,1015,surface,water,Zn,O,O-Zn,,2.172665
77,set_000__step_00038550,set_000__step_00038050,water-surface,formed,659,1014,surface,water,O,H,H-O,,1.079655
77,set_000__step_00038550,set_000__step_00038050,water-surface,broken,68,1009,surface,water,Zn,O,O-Zn,1.931372,
77,set_000__step_00038550,set_000__step_00038050,water-surface,broken,253,1021,surface,water,Zn,O,O-Zn,2.113538,
77,set_000__step_00038550,set_000__step_00038050,water-surface,broken,328,1003,surface,water,Zn,O,O-Zn,2.000061,
77,set_000__step_00038550,set_000__step_00038050,water-surface,broken,774,1058,surface,water,O,H,H-O,1.074047,
77,set_000__step_00038550,set_000__step_00038050,water-surface,broken,893,1000,surface,water,Zn,O,O-Zn,2.185593,
78,set_000__step_00039050,set_000__step_00038550,water-surface,formed,59,1050,surface,water,O,H,H-O,,1.141006
78,set_000__step_00039050,set_000__step_00038550,water-surface,formed,68,1009,surface,water,Zn,O,O-Zn,,2.094998
78,set_000__step_00039050,set_000__step_00038550,water-surface,formed,253,1021,surface,water,Zn,O,O-Zn,,2.059410
78,set_000__step_00039050,set_000__step_00038550,water-surface,formed,328,1003,surface,water,Zn,O,O-Zn,,1.971191
78,set_000__step_00039050,set_000__step_00038550,water-surface,formed,774,1058,surface,water,O,H,H-O,,1.087498
78,set_000__step_00039050,set_000__step_00038550,water-surface,broken,768,1006,surface,water,Zn,O,O-Zn,1.971718,
79,set_000__step_00039550,set_000__step_00039050,water-surface,formed,768,1006,surface,water,Zn,O,O-Zn,,2.096351
79,set_000__step_00039550,set_000__step_00039050,water-surface,formed,893,1000,surface,water,Zn,O,O-Zn,,2.058206
79,set_000__step_00039550,set_000__step_00039050,water-surface,broken,328,1003,surface,water,Zn,O,O-Zn,1.971191,
79,set_000__step_00039550,set_000__step_00039050,water-surface,broken,774,1058,surface,water,O,H,H-O,1.087498,
79,set_000__step_00039550,set_000__step_00039050,water-surface,broken,879,1038,surface,water,O,H,H-O,1.038243,
